,省份,确诊人数,疑似人数,治愈人数,死亡人数
0,香港,11539,176,11163,205
1,云南,312,2,231,2
2,德宏州,81,0,5,0
3,境外输入,62,2,59,0
4,昆明,53,0,53,0
5,昭通,25,0,25,0
6,西双版纳,15,0,14,1
7,玉溪,14,0,13,1
8,曲靖,13,0,13,0
9,大理州,13,0,13,0
10,红河州,9,0,9,0
11,保山,9,0,9,0
12,丽江,7,0,7,0
13,普洱,4,0,4,0
14,楚雄州,4,0,4,0
15,文山州,2,0,2,0
16,临沧,1,0,1,0
17,上海,1913,393,1860,7
18,境外输入,1542,4,1496,0
19,外地来沪,113,0,112,1
20,浦东新区,69,0,68,1
21,宝山区,26,0,25,1
22,黄浦区,22,0,22,0
23,闵行区,19,0,19,0
24,徐汇区,18,0,17,1
25,静安区,16,0,15,1
26,松江区,14,0,14,0
27,长宁区,14,0,14,0
28,普陀区,11,0,11,0
29,杨浦区,9,0,9,0
30,嘉定区,9,0,7,2
31,奉贤区,9,0,9,0
32,虹口区,7,0,7,0
33,青浦区,6,0,6,0
34,金山区,4,0,4,0
35,崇明区,4,0,4,0
36,境外来沪,1,0,1,0
37,广东,2291,14,2242,8
38,广州,1092,9,1067,1
39,肇庆,32,0,24,1
40,深圳,502,1,493,3
41,佛山,131,1,128,0
42,清远,14,0,13,0
43,珠海,113,1,112,1
44,东莞,101,0,100,1
45,中山,69,0,69,0
46,惠州,63,0,63,0
47,湛江,30,2,30,0
48,江门,29,0,29,0
49,汕头,26,0,26,0
50,梅州,17,0,17,0
51,茂名,17,0,17,0
52,阳江,16,0,16,0
53,揭阳,11,0,11,0
54,韶关,10,0,9,1
55,潮州,7,0,7,0
56,汕尾,6,0,6,0
57,河源,5,0,5,0
58,台湾,1050,431,1007,10
59,四川,954,14,933,3
60,成都,557,13,536,3
61,甘孜州,78,0,78,0
62,达州,42,0,42,0
63,南充,39,0,39,0
64,广安,30,0,30,0
65,泸州,24,0,24,0
66,巴中,24,0,24,0
67,绵阳,22,0,22,0
68,内江,22,0,22,0
69,德阳,18,0,18,0
70,遂宁,17,0,17,0
71,攀枝花,16,0,16,0
72,凉山州,14,1,14,0
73,宜宾,12,0,12,0
74,自贡,9,0,9,0
75,眉山,8,0,8,0
76,雅安,8,0,8,0
77,广元,6,0,6,0
78,资阳,4,0,4,0
79,乐山,3,0,3,0
80,阿坝州,1,0,1,0
81,福建,573,3,554,1
82,境外输入人员,277,1,259,0
83,福州,72,0,71,1
84,莆田,56,0,56,0
85,泉州,47,0,47,0
86,厦门,35,0,35,0
87,宁德,26,0,26,0
88,漳州,20,0,20,0
89,南平,20,0,20,0
90,三明,14,0,14,0
91,龙岩,6,0,6,0
92,陕西,573,1,560,3
93,境外输入,325,0,316,0
94,西安,121,0,117,3
95,安康,26,0,26,0
96,汉中,26,0,26,0
97,咸阳,17,0,17,0
98,渭南,17,0,17,0
99,宝鸡,13,0,13,0
100,延安,8,0,8,0
101,铜川,8,0,8,0
102,商洛,7,0,7,0
103,榆林,3,0,3,0
104,韩城,1,0,1,0
105,杨凌,1,0,1,0
106,江苏,716,3,707,0
107,境外输入,85,0,76,0
108,南京,93,0,93,0
109,苏州,87,0,87,0
110,徐州,79,0,79,0
111,淮安,66,0,66,0
112,无锡,55,0,55,0
113,常州,51,0,51,0
114,连云港,48,0,48,0
115,南通,40,0,40,0
116,泰州,37,0,37,0
117,盐城,27,0,27,0
118,扬州,23,0,23,0
119,宿迁,13,0,13,0
120,镇江,12,0,12,0
121,河南,1311,0,1283,22
122,境外输入,38,0,32,0
123,信阳,274,0,272,2
124,郑州,157,0,152,5
125,南阳,156,0,153,3
126,驻马店,139,0,139,0
127,商丘,91,0,88,3
128,周口,76,0,75,1
129,平顶山,58,0,57,1
130,新乡,57,0,54,3
131,安阳,53,0,53,0
132,许昌,39,0,38,1
133,漯河,36,0,36,0
134,焦作,32,0,31,1
135,洛阳,31,0,30,1
136,开封,26,0,26,0
137,鹤壁,19,0,19,0
138,濮阳,17,0,17,0
139,三门峡,7,0,6,1
140,济源,5,0,5,0
141,北京,1053,164,1038,9
142,境外输入,225,3,206,0
143,丰台区,273,0,273,0
144,大兴区,134,0,134,0
145,海淀区,82,0,82,0
146,朝阳区,80,0,80,0
147,西城区,59,0,59,0
